N,P,K,pH,Organic_Carbon,Temperature,Humidity,Rainfall,Crop,Soil_Type,Fertilizer
43.0,39.0,54.0,5.12,1.42,28.0,72.0,1100.0,Wheat,Loamy,Organic Compost
56.0,59.0,55.0,6.78,0.52,25.0,68.0,1400.0,Wheat,Clay,Organic Compost
33.0,44.0,23.0,5.33,0.99,27.0,75.0,1200.0,Rice,Loamy,NPK 20-10-10
19.0,56.0,25.0,4.85,1.95,30.0,82.0,1600.0,Cassava,Sandy,NPK 15-15-15
47.0,20.0,9.0,5.35,2.48,29.0,70.0,950.0,Maize,Loamy,DAP
12.0,17.0,22.0,7.03,0.7,26.0,65.0,800.0,Sorghum,Silt,NPK 20-10-10
25.0,54.0,32.0,7.49,1.3,31.0,60.0,700.0,Tomato,Loamy,NPK 15-15-15
43.0,46.0,46.0,7.41,2.1,24.0,74.0,1300.0,Tomato,Clay,Superphosphate
23.0,34.0,26.0,5.89,0.91,28.0,78.0,1500.0,Maize,Loamy,NPK 20-10-10
27.0,23.0,25.0,6.84,1.61,27.0,72.0,1100.0,Wheat,Loamy,Potash
15.0,21.0,10.0,5.22,1.97,32.0,85.0,1800.0,Beans,Sandy,NPK 20-10-10
15.0,23.0,5.0,5.53,1.73,26.0,79.0,1400.0,Rice,Silt,Organic Compost
28.0,32.0,9.0,7.64,0.88,25.0,64.0,900.0,Wheat,Loamy,NPK 15-15-15
57.0,59.0,45.0,4.55,1.21,33.0,88.0,1900.0,Tomato,Sandy,DAP
40.0,30.0,16.0,4.8,2.07,29.0,80.0,1600.0,Millet,Loamy,DAP
44.0,41.0,30.0,5.23,1.61,27.0,73.0,1200.0,Beans,Clay,NPK 15-15-15
28.0,30.0,50.0,4.59,0.51,34.0,90.0,2000.0,Tomato,Sandy,Organic Compost
7.0,57.0,38.0,5.14,2.02,28.0,76.0,1300.0,Millet,Loamy,Urea
26.0,27.0,53.0,6.54,0.57,26.0,68.0,1000.0,Wheat,Silt,NPK 20-10-10
57.0,13.0,18.0,5.97,1.99,31.0,83.0,1700.0,Maize,Sandy,Organic Compost
6.0,16.0,30.0,7.62,0.9,27.0,71.0,1100.0,Maize,Loamy,Potash
28.0,57.0,49.0,7.36,2.42,24.0,75.0,1350.0,Beans,Clay,Superphosphate
48.0,5.0,31.0,5.7,1.24,30.0,80.0,1500.0,Tomato,Loamy,NPK 15-15-15
34.0,5.0,13.0,5.41,1.15,33.0,86.0,1850.0,Cassava,Sandy,NPK 20-10-10
42.0,51.0,30.0,5.83,0.8,28.0,78.0,1450.0,Millet,Loamy,DAP
6.0,38.0,51.0,6.57,1.11,26.0,67.0,980.0,Rice,Silt,Superphosphate
25.0,36.0,26.0,5.44,2.25,27.0,74.0,1250.0,Tomato,Loamy,Urea
37.0,58.0,51.0,6.68,2.49,24.0,72.0,1300.0,Rice,Clay,Potash
16.0,52.0,34.0,5.93,1.24,30.0,82.0,1650.0,Tomato,Sandy,DAP
26.0,29.0,47.0,6.43,1.4,28.0,77.0,1400.0,Cassava,Loamy,NPK 15-15-15
48.0,44.0,52.0,6.03,1.94,25.0,70.0,1200.0,Cassava,Clay,NPK 20-10-10
29.0,49.0,21.0,5.53,2.27,27.0,75.0,1300.0,Beans,Loamy,NPK 15-15-15
53.0,57.0,30.0,7.82,1.69,24.0,63.0,850.0,Beans,Silt,Superphosphate
31.0,5.0,40.0,7.17,1.28,32.0,84.0,1750.0,Cassava,Sandy,NPK 20-10-10
46.0,20.0,5.0,4.99,1.33,29.0,79.0,1450.0,Sorghum,Loamy,Organic Compost
32.0,43.0,12.0,7.54,1.89,25.0,71.0,1100.0,Cassava,Clay,Urea
20.0,9.0,53.0,6.21,0.51,27.0,76.0,1350.0,Maize,Silt,Organic Compost
19.0,26.0,39.0,7.63,1.74,26.0,73.0,1250.0,Maize,Loamy,Organic Compost
51.0,33.0,56.0,7.3,1.21,24.0,68.0,1050.0,Sorghum,Clay,NPK 15-15-15
55.0,59.0,19.0,5.99,2.09,29.0,80.0,1550.0,Wheat,Loamy,Superphosphate
48.0,7.0,51.0,4.58,0.69,34.0,90.0,2000.0,Millet,Sandy,Urea
59.0,16.0,26.0,5.44,1.68,27.0,73.0,1200.0,Wheat,Loamy,NPK 20-10-10
56.0,30.0,18.0,6.4,1.46,26.0,71.0,1100.0,Rice,Silt,NPK 20-10-10
7.0,20.0,30.0,6.72,1.78,28.0,78.0,1450.0,Wheat,Loamy,Potash
41.0,55.0,32.0,5.4,0.63,31.0,85.0,1800.0,Tomato,Clay,DAP
55.0,41.0,27.0,4.99,1.66,33.0,88.0,1900.0,Wheat,Sandy,Potash
11.0,26.0,18.0,7.42,1.62,26.0,72.0,1150.0,Tomato,Loamy,Potash
25.0,33.0,28.0,7.95,1.62,25.0,65.0,900.0,Sorghum,Silt,NPK 20-10-10
13.0,18.0,6.0,6.34,1.71,32.0,86.0,1800.0,Maize,Sandy,NPK 15-15-15
43.0,32.0,49.0,5.1,1.85,28.0,77.0,1400.0,Beans,Loamy,Organic Compost
22.0,9.0,30.0,5.45,2.11,27.0,74.0,1250.0,Tomato,Silt,Superphosphate
8.0,51.0,18.0,4.56,1.04,31.0,84.0,1750.0,Maize,Clay,Organic Compost
29.0,53.0,55.0,7.7,2.15,24.0,70.0,1150.0,Millet,Loamy,Organic Compost
18.0,34.0,11.0,4.91,1.5,34.0,91.0,2000.0,Rice,Sandy,Urea
54.0,50.0,7.0,6.52,0.65,25.0,67.0,950.0,Millet,Clay,NPK 20-10-10
13.0,56.0,51.0,5.46,0.62,30.0,82.0,1650.0,Sorghum,Loamy,Superphosphate
30.0,9.0,27.0,6.44,1.17,27.0,73.0,1200.0,Wheat,Silt,NPK 15-15-15
57.0,16.0,50.0,6.78,2.07,28.0,78.0,1450.0,Wheat,Loamy,Urea
6.0,20.0,47.0,7.4,1.92,31.0,83.0,1700.0,Cassava,Sandy,DAP
24.0,30.0,51.0,5.22,2.08,29.0,80.0,1550.0,Cassava,Loamy,NPK 15-15-15
32.0,30.0,49.0,4.54,1.53,26.0,72.0,1150.0,Cassava,Clay,Potash
51.0,52.0,22.0,4.98,1.38,33.0,87.0,1900.0,Millet,Sandy,NPK 15-15-15
11.0,25.0,42.0,7.65,0.79,27.0,74.0,1300.0,Tomato,Loamy,NPK 15-15-15
48.0,43.0,39.0,7.56,1.16,25.0,68.0,1050.0,Rice,Silt,Organic Compost
12.0,40.0,55.0,6.59,1.37,29.0,80.0,1550.0,Cassava,Loamy,NPK 15-15-15
51.0,37.0,19.0,6.6,0.68,24.0,71.0,1150.0,Sorghum,Clay,Potash
39.0,34.0,29.0,6.83,0.94,27.0,76.0,1350.0,Sorghum,Loamy,Potash
18.0,41.0,59.0,5.11,1.7,32.0,85.0,1800.0,Cassava,Sandy,NPK 20-10-10
21.0,27.0,41.0,7.7,1.97,26.0,72.0,1200.0,Wheat,Loamy,NPK 15-15-15
40.0,14.0,32.0,5.97,2.5,28.0,77.0,1400.0,Cassava,Silt,Organic Compost
